idEspece,nomEspece,famille,genre,longevite,urlImageEspece,urlAudio
1,Tourterelle,Columbidés,Streptopelia,16,https://www.oiseaux.net/photos/jacques.riviere/images/id/tourterelle.turque.jari.17p.jpg,https://www.oiseaux.net/chant/jean.roche/tourterelle.turque.1.ogg
2,Corbeau,Corvidés,Corvus,20,https://www.oiseaux.net/photos/rene.dumoulin/images/id/corbeau.freux.redu.5p.jpg,https://www.oiseaux.net/chant/jean.roche/corbeau.freux.1.ogg
3,Etourneau sansonnet,Sturnidés,Sturnus,15,https://www.oiseaux.net/photos/nathalie.santa.maria/images/id/etourneau.sansonnet.nasa.10p.jpg,https://www.oiseaux.net/chant/didier.collin/etourneau.sansonnet.1.mp3
4,Pic-vert,Picidés,Picus,17,https://www.oiseaux.net/photos/dominique.marques/images/id/pic.vert.doma.4p.jpg,https://www.xeno-canto.org/533205/download
5,Huppe fasciée,Upupidés,Upupa,11,https://www.oiseaux.net/photos/aurelien.audevard/images/id/huppe.fasciee.auau.6p.jpg,https://www.oiseaux.net/chant/jean.roche/huppe.fasciee.1.ogg
6,Pie commune,Corvidés,Pica,15,https://www.oiseaux.net/photos/yann.ponthieux/images/id/pie.bavarde.yapo.1p.jpg,https://www.oiseaux.net/chant/didier.collin/pie.bavarde.1.ogg
7,Rouge gorge,Muscicapidés,Erithacus,15,https://www.oiseaux.net/photos/robert.balestra/images/id/rougegorge.familier.roba.1p.jpg,https://www.oiseaux.net/chant/didier.collin/rougegorge.familier.1.ogg
8,Rouge queue,Muscicapidés,Phoenicurus,8,https://www.oiseaux.net/photos/samuel.marlin/images/id/rougequeue.noir.sama.1p.jpg,https://www.oiseaux.net/chant/jean.roche/rougequeue.noir.1.ogg
9,Mésange charbonnière,Paridés,Parus,15,https://www.oiseaux.net/photos/jules.fouarge/images/id/mesange.charbonniere.jufo.7p.jpg,https://www.oiseaux.net/chant/didier.collin/mesange.charbonniere.3.ogg
10,Moineau,Passéridés,Passer,13,https://www.oiseaux.net/photos/michel.lamarche/images/id/moineau.domestique.mila.3p.jpg,https://www.oiseaux.net/chant/franck.bruneliere/moineau.domestique.1.mp3
11,Verdier,Fringillidés,Chloris,13,https://www.oiseaux.net/photos/nathalie.santa.maria/images/id/verdier.d.europe.nasa.8p.jpg,https://www.oiseaux.net/chant/didier.collin/verdier.d.europe.1.mp3
12,Chardonneret,Fringillidés,Carduelis,8,https://www.oiseaux.net/photos/jacques.riviere/images/id/chardonneret.elegant.jari.5p.jpg,https://www.oiseaux.net/chant/jean.roche/chardonneret.elegant.1.ogg
13,Pinson des arbres,Fringillidés,Fringilla,14,https://www.oiseaux.net/photos/rene.dumoulin/images/id/pinson.des.arbres.redu.4p.jpg,https://www.oiseaux.net/chant/didier.collin/pinson.des.arbres.1.mp3
14,Pinson du nord,Fringillidés,Fringilla,13,https://www.oiseaux.net/photos/jean-louis.corsin/images/id/pinson.du.nord.jlco.5p.jpg,https://www.xeno-canto.org/138980/download
15,Tarin des aulnes,Fringillidés,Spinus,11,https://www.oiseaux.net/photos/nick.smith/images/id/tarin.des.aulnes.nism.2p.jpg,https://www.oiseaux.net/chant/fernand.deroussen/tarin.des.aulnes.128489.mp3
16,Geai,Corvidés,Garrulus,18,https://www.oiseaux.net/photos/ghislain.riou/images/id/geai.des.chenes.ghri.4p.jpg,https://www.oiseaux.net/chant/didier.collin/geai.des.chenes.1.ogg
17,Chouette chevêche,Strigidae,Athene,16,https://www.oiseaux.net/photos/marc.fasol/images/id/cheveche.d.athena.mafa.4p.jpg,https://www.xeno-canto.org/135729/download
18,Pic épeiche,Picidés,Dendrocopos,11,https://www.oiseaux.net/photos/frederic.pelsy/images/id/pic.epeiche.frpe.1p.jpg,https://www.oiseaux.net/chant/didier.collin/pic.epeiche.4.ogg
